,username,talking_about_count,time
95419,chipotle,31523,2015-07-25 04:00:00+00
95802,Dominos,26149,2015-07-25 04:00:00+00
95949,burgerking,109926,2015-07-25 04:00:00+00
96419,Dominos,26807,2015-07-26 04:00:00+00
96619,chipotle,29746,2015-07-26 04:00:00+00
96713,burgerking,109068,2015-07-26 04:00:00+00
97582,Dominos,27447,2015-07-27 04:00:00+00
97767,chipotle,30469,2015-07-27 04:00:00+00
98141,burgerking,108996,2015-07-27 04:00:00+00
98356,chipotle,36732,2015-07-28 04:00:00+00
98401,burgerking,110717,2015-07-28 04:00:00+00
98867,Dominos,27464,2015-07-28 04:00:00+00
99508,Dominos,29482,2015-07-29 04:00:00+00
99749,chipotle,45219,2015-07-29 04:00:00+00
99772,burgerking,106600,2015-07-29 04:00:00+00
100420,Dominos,29482,2015-07-30 04:00:00+00
100885,burgerking,100352,2015-07-30 04:00:00+00
100931,chipotle,48474,2015-07-30 04:00:00+00
101454,chipotle,48474,2015-07-31 04:00:00+00
101917,burgerking,100352,2015-07-31 04:00:00+00
102014,Dominos,29482,2015-07-31 04:00:00+00
102232,Dominos,28998,2015-08-01 04:00:00+00
102266,burgerking,108160,2015-08-01 04:00:00+00
102329,chipotle,49247,2015-08-01 04:00:00+00
103516,burgerking,114282,2015-08-02 04:00:00+00
103535,chipotle,54140,2015-08-02 04:00:00+00
103782,Dominos,28998,2015-08-02 04:00:00+00
104958,chipotle,66315,2015-08-03 04:00:00+00
105017,burgerking,101002,2015-08-03 04:00:00+00
105053,Dominos,29126,2015-08-03 04:00:00+00
105343,chipotle,62925,2015-08-04 04:00:00+00
105650,burgerking,95477,2015-08-04 04:00:00+00
105719,Dominos,29126,2015-08-04 04:00:00+00
106245,burgerking,95477,2015-08-05 04:00:00+00
106422,Dominos,29676,2015-08-05 04:00:00+00
106724,chipotle,62925,2015-08-05 04:00:00+00
107207,chipotle,58326,2015-08-06 04:00:00+00
107224,burgerking,96895,2015-08-06 04:00:00+00
107797,Dominos,28387,2015-08-06 04:00:00+00
108300,Dominos,27828,2015-08-07 04:00:00+00
108395,burgerking,102539,2015-08-07 04:00:00+00
108862,chipotle,65599,2015-08-07 04:00:00+00
109267,chipotle,68404,2015-08-08 04:00:00+00
